"Full Name","Age","Gender","Education","Major","Primary Operating System","I think the command line is easy to use.","I think the command line is more usable than a GUI.","I feel comfortable using the shell.","I prefer command line tools to GUI tools.","I think I would prefer the shell if I understood it better (or already do).","I think the shell is easy to learn.","I use piping and redirection.","I use control structures in the shell.","I use wild cards in the shell.","When presented with a problem, I know the commands to use.","I feel that learning how to use new commands is easy.","I use a wide array of commands.","I feel that I have sufficient knowledge of the shell for what I need.","Please explain what tasks you commonly carry out on in the shell."
"1","18-24","Male","Senior","Computer Science","OS X","2","1","2","2","1","3","1","4","1","2","1","1","3","General systems administration-- editing, file searching, tunneling, scheduling, etc"
"2","18-24","Male","Senior","Computer Science","Windows","1","3","2","3","3","2","4","4","4","2","2","3","2","file management and program execution"
"3","18-24","Female","Graduate","CSE","Linux by choice, Windows for work :(","1","1","1","2","1","1","2","3","1","2","1","1","1","Basics, searching, python, coding (in vim) "
"4","18-24","Male","Junior","CS","GNU + Linux","1","2","2","2","1","4","2","3","1","2","1","2","2","File management and some text processing."
"5","18-24","Male","Graduate","","GNU + Linux","2","3","1","2","1","3","1","3","1","2","1","3","2","Data reduction"
"6","18-24","Male","Sophomore","Computer Science","GNU + Linux","1","2","1","3","2","2","1","2","2","1","1","1","1","Compiling Scott homework; Editing my system configs; Launching gui programs; Searching for keywords in files using grep and sed; (The one thing I will never do in a terminal is tar my homework!)"
"7","18-24","Male","Graduate","mechanical engineering","Windows","1","3","2","4","3","","3","3","2","3","2","2","2","C dev"
"8","18-24","Female","Sophomore","CS","GNU + Linux","2","3","3","2","1","3","1","3","1","2","2","3","3","Moving through files system, Editting files, mostly the latter"
"9","18-24","Male","Senior","Physics","GNU + Linux","1","1","3","2","1","1","4","4","4","4","2","4","3",""
"10","18-24","Male","Junior","CS","Windows","2","4","1","3","3","1","2","3","4","2","1","1","1","Chrome OS Crouton and compilation."
"11","18-24","Male","Junior","","GNU + Linux","2","1","1","3","2","3","1","3","1","2","2","3","2",""
"12","18-24","Male","Sophomore","Computer Science","OS X","1","3","1","3","4","3","2","4","1","2","3","3","2","Compiling and running programs, file manipulation, code editing (vim/nano/etc.)."
"13","18-24","Male","Junior","Computer Science","GNU + Linux","1","1","1","2","1","2","1","1","1","2","1","1","1",""
"14","18-24","Female","Senior","Computer Science, Mathematics","Windows","1","1","1","1","1","2","1","3","3","1","2","1","1","ls -lt, grep, piping, awk, redirection, cd, redirection, and concatenating "
"15","18-24","Male","Sophomore","CS/EE","GNU + Linux","1","2","1","2","3","2","1","1","1","2","2","2","2","Coding, system administration, web-browsing"
"16","18-24","Male","Junior","Computer Science","GNU + Linux","4","2","4","3","3","3","4","2","4","3","3","3","3","Standard programming tasks"
"17","18-24","Male","Senior","Mathematics","GNU + Linux","1","1","1","1","1","1","1","1","1","2","1","1","1","Basic directory navigation and modification. Internet connection and audio settings."
"18","18-24","Male","Senior","Math/Physics","GNU + Linux","1","3","1","3","3","1","2","4","1","3","2","4","1","99% of the time I'm just browsing directories after I SSH in somewhere, and moving files around or changing permissions. I've written a few more complicated shell scripts to batch process data or inventory hard drives for data backup. "
"19","31-40","Male","Graduate","Computer Science","Windows","1","4","1","1","1","3","3","4","2","2","2","4","3","Log parsing, string look up, lots and lots of grep and sed.  Also to perform system administration tasks and small amounts of shell scripting"
"20","25-30","Male","Senior","Computer Science and Mathematics","OS X","2","2","1","1","3","2","1","3","1","2","2","1","1","file manipulation, text editing, compilation"
"21","18-24","Male","Senior","Mechanical Engineering","Windows","1","2","2","3","2","2","2","3","1","2","1","2","2","Just killing pesky tasks."
"22","18-24","Male","Senior","Computer Science","GNU + Linux","2","1","1","2","1","3","4","3","3","2","3","3","2","Checking, Creating, and deleting directories.
Creating files very quickly
Opening up various applications"
"23","25-30","Male","Junior","IT","GNU + Linux","1","1","1","2","1","2","2","3","1","2","3","3","2",""
"24","31-40","Male","Graduate","","OS X","4","4","1","1","4","4","1","1","1","1","1","1","1","strace, find, grep"
"25","18-24","Male","Graduate","ChemE","GNU + Linux","1","2","2","2","2","4","3","3","1","2","4","3","2","Browsing directories, starting bash scripts, using git, installing packages"
"26","18-24","Male","Senior","CS & EE","GNU + Linux","1","2","1","1","1","2","1","1","1","2","1","1","1",""
"27","18-24","Male","Senior","Mechanical Engineering","GNU + Linux","1","2","2","2","2","2","4","4","4","3","2","4","2","Opening programs using optirun for better graphics card usage, and rebooting my wifi because it sucks."
"28","25-30","Male","Senior","Computer Science","OS X","2","2","1","1","1","2","1","1","1","2","1","2","1","disk management, source control, grading student programs (script and manually)"
